id,scheme_name,min_age,max_age,max_income,category,gender,location,occupation,disability_required,minority_required,description
28,"PM Formalisation of Micro Food Enterprises",18,NULL,NULL,GENERAL,ALL,India,Entrepreneur,NO,NO,"Support for food processing units."
29,"PM Krishi Sinchai Yojana",18,NULL,NULL,GENERAL,ALL,India,Farmer,NO,NO,"Irrigation support scheme."
30,"PM National Apprenticeship Promotion Scheme",18,NULL,NULL,GENERAL,ALL,India,Youth,NO,NO,"Apprenticeship training support."
31,"National SC Scholarship Scheme",NULL,NULL,250000,SC,ALL,India,Student,NO,NO,"Scholarship for SC students."
32,"National ST Scholarship Scheme",NULL,NULL,250000,ST,ALL,India,Student,NO,NO,"Scholarship for ST students."
33,"National OBC Scholarship Scheme",NULL,NULL,200000,OBC,ALL,India,Student,NO,NO,"Scholarship for OBC students."
34,"National Minority Scholarship",NULL,NULL,200000,GENERAL,ALL,India,Student,NO,YES,"Scholarship for minority students."
35,"Solar Rooftop Scheme",18,NULL,NULL,GENERAL,ALL,India,"Home Owner",NO,NO,"Subsidy for rooftop solar installation."
36,"Chief Minister Comprehensive Health Insurance Scheme",NULL,NULL,120000,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Health insurance scheme in TN."
37,"Pudhumai Penn Scheme",NULL,NULL,250000,GENERAL,Female,"Tamil Nadu",Student,NO,NO,"Financial support for girl students."
38,"Amma Two Wheeler Scheme",18,40,250000,GENERAL,Female,"Tamil Nadu","Working Women",NO,NO,"Subsidy for two wheelers."
39,"Tamil Nadu Old Age Pension Scheme",60,NULL,100000,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Old age pension."
40,"Kalaignar Housing Scheme",18,NULL,200000,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Housing scheme for rural poor."
41,"TN Free Laptop Scheme",NULL,NULL,200000,GENERAL,ALL,"Tamil Nadu",Student,NO,NO,"Free laptops for students."
42,"TN Marriage Assistance Scheme",18,NULL,200000,GENERAL,Female,"Tamil Nadu",ALL,NO,NO,"Marriage assistance scheme."
43,"TN Differently Abled Pension Scheme",18,NULL,100000,GENERAL,ALL,"Tamil Nadu",ALL,YES,NO,"Pension for disabled persons."
44,"TN Chief Minister Solar Pump Scheme",18,NULL,NULL,GENERAL,ALL,"Tamil Nadu",Farmer,NO,NO,"Solar pump subsidy."
45,"TN Free Sewing Machine Scheme",20,40,150000,GENERAL,Female,"Tamil Nadu",Tailor,NO,NO,"Free sewing machines."
46,"TN Amma Canteen Scheme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu","Urban Poor",NO,NO,"Subsidized food scheme."
47,"TN Free Bus Pass Scheme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu",Student,NO,NO,"Free bus pass for students."
48,"TN Women Self Help Group Scheme",18,NULL,NULL,GENERAL,Female,"Tamil Nadu",ALL,NO,NO,"Support for SHGs."
49,"TN Agricultural Mechanization Scheme",18,NULL,300000,GENERAL,ALL,"Tamil Nadu",Farmer,NO,NO,"Machinery subsidy for farmers."
50,"TN Fishermen Welfare Scheme",18,NULL,200000,GENERAL,ALL,"Tamil Nadu",Fisherman,NO,NO,"Financial support for fishermen."
51,"TN Destitute Widow Pension Scheme",18,NULL,100000,GENERAL,Female,"Tamil Nadu",ALL,NO,NO,"Widow pension scheme."
52,"TN Urban Livelihood Mission",18,NULL,NULL,GENERAL,ALL,"Tamil Nadu","Urban Poor",NO,NO,"Urban livelihood scheme."
53,"TN Cradle Baby Scheme",NULL,NULL,NULL,GENERAL,Female,"Tamil Nadu",ALL,NO,NO,"Prevention of female infanticide."
54,"TN Chief Minister Startup Scheme",18,40,500000,GENERAL,ALL,"Tamil Nadu",Entrepreneur,NO,NO,"Startup seed funding."
55,"TN SC/ST Entrepreneur Subsidy Scheme",18,NULL,300000,SC,ALL,"Tamil Nadu",Entrepreneur,NO,NO,"Subsidy for SC/ST entrepreneurs."
56,"TN OBC Coaching Assistance Scheme",18,35,200000,OBC,ALL,"Tamil Nadu",Student,NO,NO,"Coaching assistance scheme."
57,"TN Girl Child Protection Scheme",0,18,NULL,GENERAL,Female,"Tamil Nadu",ALL,NO,NO,"Girl child financial protection scheme."
58,"TN Free Dhoti Saree Scheme",NULL,NULL,150000,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Free clothing distribution."
59,"TN Transgender Welfare Scheme",18,NULL,200000,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Financial assistance for transgender persons."
60,"TN Unemployment Assistance Scheme",18,40,200000,GENERAL,ALL,"Tamil Nadu",Unemployed,NO,NO,"Monthly unemployment assistance."
61,"PM Garib Kalyan Rozgar Yojana",18,NULL,NULL,GENERAL,ALL,India,"Migrant Worker",NO,NO,"Employment scheme for migrant workers."
62,"One Nation One Ration Card",NULL,NULL,NULL,GENERAL,ALL,India,ALL,NO,NO,"Nationwide portability of ration cards."
63,"PM UDAY Scheme",18,NULL,NULL,GENERAL,ALL,India,Urban,NO,NO,"Regularization of unauthorized colonies."
64,"National Apprenticeship Training Scheme (NATS)",18,35,NULL,GENERAL,ALL,India,Graduate,NO,NO,"Apprenticeship training for graduates."
65,"Eklavya Model Residential Schools Scheme",NULL,NULL,NULL,ST,ALL,India,Student,NO,NO,"Residential schools for ST students."
66,"National Backward Classes Finance Development Scheme",18,NULL,300000,OBC,ALL,India,Entrepreneur,NO,NO,"Financial assistance for OBC entrepreneurs."
67,"National Safai Karamcharis Finance Development Scheme",18,NULL,300000,GENERAL,ALL,India,"Sanitation Worker",NO,NO,"Loan assistance for sanitation workers."
68,"Rashtriya Gokul Mission",18,NULL,NULL,GENERAL,ALL,India,Farmer,NO,NO,"Development of indigenous cattle breeds."
69,"PM National Education Policy Implementation Scheme",NULL,NULL,NULL,GENERAL,ALL,India,Student,NO,NO,"Support for NEP implementation initiatives."
70,"National AYUSH Mission",NULL,NULL,NULL,GENERAL,ALL,India,"Health Worker",NO,NO,"Promotion of traditional medicine systems."
71,"National SC Finance Development Scheme",18,NULL,300000,SC,ALL,India,Entrepreneur,NO,NO,"Loan assistance for SC entrepreneurs."
72,"National ST Finance Development Scheme",18,NULL,300000,ST,ALL,India,Entrepreneur,NO,NO,"Loan assistance for ST entrepreneurs."
73,"National Livestock Mission",18,NULL,NULL,GENERAL,ALL,India,Farmer,NO,NO,"Livestock development program."
74,"National Bamboo Mission",18,NULL,NULL,GENERAL,ALL,India,Farmer,NO,NO,"Support for bamboo cultivation."
75,"National Beekeeping & Honey Mission",18,NULL,NULL,GENERAL,ALL,India,Farmer,NO,NO,"Promotion of beekeeping activities."
76,"PM Jan Dhan Yojana",10,NULL,NULL,GENERAL,ALL,India,ALL,NO,NO,"Financial inclusion scheme."
77,"PM Street Light National Programme",NULL,NULL,NULL,GENERAL,ALL,India,Urban,NO,NO,"LED street lighting initiative."
78,"National Creche Scheme",NULL,NULL,200000,GENERAL,Female,India,Worker,NO,NO,"Child care support for working mothers."
79,"National Urban Livelihood Mission (DAY-NULM)",18,NULL,NULL,GENERAL,ALL,India,"Urban Poor",NO,NO,"Urban employment and livelihood support."
80,"National Rural Drinking Water Programme",NULL,NULL,NULL,GENERAL,ALL,India,Rural,NO,NO,"Safe drinking water initiative."
81,"TN Chief Minister Insurance for Fishermen Scheme",18,NULL,200000,GENERAL,ALL,"Tamil Nadu",Fisherman,NO,NO,"Insurance coverage for fishermen."
82,"TN Free Textbook Scheme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu",Student,NO,NO,"Free textbooks for students."
83,"TN Free Bicycle Scheme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu",Student,NO,NO,"Free bicycles for school students."
84,"TN Amma Salt Scheme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Subsidized salt distribution."
85,"TN Marriage Gold Scheme",18,NULL,200000,GENERAL,Female,"Tamil Nadu",ALL,NO,NO,"Gold assistance for marriage."
86,"TN Free Rice Scheme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Free rice distribution scheme."
87,"TN Chief Minister Laptop Scheme for Polytechnic Students",NULL,NULL,200000,GENERAL,ALL,"Tamil Nadu",Student,NO,NO,"Free laptops for polytechnic students."
88,"TN Green House Scheme",18,NULL,200000,GENERAL,ALL,"Tamil Nadu",Rural,NO,NO,"Housing scheme for rural poor."
89,"TN SC/ST Special Scholarship Scheme",NULL,NULL,200000,SC,ALL,"Tamil Nadu",Student,NO,NO,"Special scholarship for SC/ST students."
90,"TN Farmers Welfare Board Scheme",18,NULL,NULL,GENERAL,ALL,"Tamil Nadu",Farmer,NO,NO,"Welfare benefits for farmers."
91,"TN Amma Pharmacy Scheme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Subsidized medicines."
92,"TN Destitute Agricultural Labour Pension Scheme",60,NULL,100000,GENERAL,ALL,"Tamil Nadu","Agricultural Labour",NO,NO,"Pension for destitute agricultural labourers."
93,"TN Women Entrepreneurship Development Scheme",18,NULL,300000,GENERAL,Female,"Tamil Nadu",Entrepreneur,NO,NO,"Financial support for women entrepreneurs."
94,"TN Youth Skill Training Scheme",18,35,NULL,GENERAL,ALL,"Tamil Nadu",Youth,NO,NO,"Skill training for youth."
95,"TN Nutrition Meal Programme",NULL,NULL,NULL,GENERAL,ALL,"Tamil Nadu",Student,NO,NO,"Midday meal scheme for students."
96,"PM CARES for Children Scheme",NULL,23,NULL,GENERAL,ALL,India,Student,NO,NO,"Support scheme for children orphaned due to COVID-19."
97,"National Family Benefit Scheme (NFBS)",18,NULL,100000,GENERAL,ALL,India,ALL,NO,NO,"One-time financial assistance to bereaved families below poverty line."
98,"PM National Child Labour Project Scheme",NULL,18,NULL,GENERAL,ALL,India,Child,NO,NO,"Rehabilitation and education for rescued child labourers."
99,"Tamil Nadu Chief Minister Medical Assistance Scheme",NULL,NULL,200000,GENERAL,ALL,"Tamil Nadu",ALL,NO,NO,"Financial assistance for life-saving medical treatment."
100,"Tamil Nadu Differently Abled Self Employment Scheme",18,NULL,200000,GENERAL,ALL,"Tamil Nadu",Entrepreneur,YES,NO,"Self-employment financial assistance for differently abled persons."
